2020-01-26 07:30:10,b'@AlvaroUribeVel has betrayed people who voted NO in the Plebiscite. He is not the same person he was between 2002 a\xe2\x80\xa6 https://t.co/QvelYDsoCR'
2020-01-26 04:28:48,b'CALLESE https://t.co/npYeOZVudb'
2020-01-26 04:20:34,b'RT @CaritoCaroTX: This is who @realDonaldTrump is.... A TRUTHFUL PRESIDENT... Nothing to hide... Nothing to fear @realDonaldTrump @Horadela\xe2\x80\xa6'
2020-01-26 04:16:53,b'This is who @realDonaldTrump is.... A TRUTHFUL PRESIDENT... Nothing to hide... Nothing to fear @realDonaldTrump\xe2\x80\xa6 https://t.co/YHJwDtdMzH'
2020-01-26 04:02:57,"b'@bertkreischer Argentina ex president, criminal/killer (allegedly) and now vice president @cfkargentina and Colombi\xe2\x80\xa6 https://t.co/TJ5auyM9Ua'"
2020-01-25 21:07:26,b'@andrescamachom_ @AlvaroUribeVel @ProsperidadCol @JUANCAELBROKY @PizarroMariaJo @petrogustavo @AndresCamiloHR\xe2\x80\xa6 https://t.co/gPh4EIY9kg'
2020-01-25 18:16:20,b'@AlvaroUribeVel NEFASTO'
2020-01-25 16:24:51,b'bacrim ???\xc2\xbf\xc2\xbf\xc2\xbf https://t.co/bN3Wjl7Sfw'
2020-01-25 16:13:13,b'@diana7028 @AlvaroUribeVel Moshoo'
2020-01-25 16:06:54,b'@AlvaroUribeVel \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3ok. International Drmocratic Center'
2020-01-25 15:22:24,b'@EmmanuelMacron This does not help #Venezuela people! We are worst now! @jguaido and their people are just expendin\xe2\x80\xa6 https://t.co/vZw1AJBVA0'
2020-01-25 13:28:58,b'@AlvaroUribeVel Super'
2020-01-25 13:15:32,b'@ANNHY57144809 @lilymarcoro @AlvaroUribeVel true \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
2020-01-25 12:32:39,b'@AlvaroUribeVel Somos el 22 segun World  Health Organization. \nhttps://t.co/L15KdOXCAM'
